tv,radio,social_media,sales,total_budget,tv_share,radio_share,social_media_share,roi,tv_radio,tv_social,radio_social,sales_per_tv,sales_per_radio,sales_per_social,influencer_Mega,influencer_Micro,influencer_Nano,influencer_Mega,influencer_Micro,influencer_Nano
16.0,6.566230788,2.907982773,54.73275715,25.474213561,0.6280861217437291,0.2577599018818244,0.11415397637444656,2.1485553231678036,105.059692608,46.527724368,19.09448601504622,3.420797321875,8.335490925787422,18.821554810496806,True,False,False,True,False,False
13.0,9.237764567,2.409567204,46.67789698,24.647331770999998,0.5274404597132001,0.37479775307236846,0.09776178721443154,1.8938316493520455,120.09093937099999,31.324373652,22.25901453891646,3.59060746,5.052942910749979,19.37190085527077,True,False,False,True,False,False
41.0,15.88644602,2.913410175,150.1778288,59.799856195000004,0.6856203778534855,0.2656602712922293,0.04871935085428511,2.5113409689529766,651.34428682,119.449817175,46.283733479256256,3.6628738731707315,9.453204864759298,51.547094222666395,True,False,False,True,False,False
83.0,30.02002826,6.922303959,298.2463398,119.94233221900001,0.691999217160895,0.2502871813863608,0.057713601452744144,2.4865811284662924,2491.66234558,574.551228597,207.80776047348988,3.5933293951807226,9.934912026628451,43.08483729788208,True,False,False,True,False,False
15.0,8.437407682,1.40599815,56.5941808,24.843405832,0.603781949280037,0.33962363047388794,0.05659442024607506,2.278036320088723,126.56111523,21.089972250000002,11.862979591687788,3.7729453866666662,6.707531854924537,40.251959648737795,False,True,False,False,True,False
29.0,9.614382036,1.02716349,105.8891476,39.641545526,0.7315557356606984,0.24253297666444773,0.025911287674853806,2.6711659748621477,278.817079044,29.78774121,9.875542206291065,3.6513499172413795,11.01361972132059,103.08889347303418,True,False,False,True,False,False
55.0,24.89381148,4.273602146,198.6798248,84.167413626,0.6534595472351553,0.295765432339602,0.05077502042524269,2.360531424701236,1369.1596314,235.04811803,106.38624616304743,3.612360450909091,7.981093010189374,46.49001428126857,False,True,False,False,True,False
31.0,17.35504181,2.289854925,108.7339319,50.644896735,0.6121051082838188,0.3426809595606533,0.045213932155527777,2.1469869406378996,538.00629611,70.985502675,39.74052796220942,3.507546190322581,6.265264762274866,47.48507458392806,False,False,True,False,False,True
76.0,24.64889821,7.130115956,270.1894,107.779014166,0.7051465499855628,0.2286984938648265,0.0661549561496107,2.5068832006930157,1873.31626396,541.888812656,175.74950242494083,3.555123684210526,10.961520377019724,37.894110231494246,False,False,False,False,False,False
13.0,0.431127823,2.229423022,48.28058223,15.660550845000001,0.8301112859098795,0.02752954396477361,0.14235917012534688,3.082942784570998,5.604661699,28.982499286000003,0.9611662940209412,3.7138909407692307,111.98670012535933,21.656088482789514,True,False,False,True,False,False
62.0,24.34518879,5.151483172,224.9610192,91.49667196200001,0.6776202748199363,0.26607731481327473,0.05630241036678898,2.458679800872209,1509.4017049800002,319.39195666399996,125.41383037084805,3.628403535483871,9.240471336677608,43.669174816048496,False,False,True,False,False,True
42.0,15.8073374,3.194924641,145.5439916,61.002262041,0.688499058801648,0.25912706957285925,0.052373871625492695,2.385878600734166,663.9081708,134.186834922,50.503251767860874,3.4653331333333335,9.207369205644968,45.55474947116288,True,False,False,True,False,False
