tv,radio,social_media,total_budget,tv_share,radio_share,social_media_share,roi,tv_radio,tv_social,radio_social,sales_per_tv,sales_per_radio,sales_per_social,influencer_Mega,influencer_Micro,influencer_Nano,influencer_Mega,influencer_Micro,influencer_Nano
46.0,13.9792447,0.891245828,60.870490528000005,0.7557027978744532,0.2296555289556874,0.014641673169859426,2.677322937376937,643.0452562,40.997308088,12.458943517466112,3.54282522826087,11.657994691229634,182.85635161480948,False,False,False,False,False,False
21.0,5.417999563,4.626973896,31.044973459,0.6764380078383367,0.17452099194593806,0.14904100021572514,2.343019526367571,113.77799082300001,97.166451816,25.06894254654041,3.463760905238095,13.425430948119844,15.720637428467565,True,False,False,True,False,False
41.0,10.71151338,1.080983657,52.792497037,0.7766255112211279,0.2028984037730354,0.02047608500583681,2.644890168808251,439.17204857999997,44.320329937,11.57897090551683,3.405618448780488,13.035539558836831,129.16972009318732,False,True,False,False,True,False
42.0,15.31567266,0.605210374,57.920883034000006,0.725127066438985,0.2644240187258468,0.010448914835168117,2.5120521369570663,643.25825172,25.418835708,9.269203978620174,3.4642923333333338,9.50009060849176,240.41272960730842,False,False,True,False,False,True
79.0,25.28409682,6.045621605,110.329718425,0.7160355444367663,0.22916850673545078,0.054795948827782937,2.5676753194342252,1997.4436487799999,477.604106795,152.85808199790378,3.585960696202531,11.204311430096794,46.85885315179265,False,False,True,False,False,True
27.0,14.94411052,1.452690809,43.396801329,0.6221656705826657,0.3443597238124914,0.033474605604842965,2.273269429516115,403.49098404,39.222651842999994,21.70917200108421,3.6538008074074075,6.601438183153908,67.91026775195905,False,False,True,False,False,True
53.0,19.89061645,3.079466745,75.970083195,0.6976430427746091,0.26182170156303197,0.040535255662358896,2.4766483895647915,1054.20267185,163.211737485,61.25249189532495,3.5500223433962264,9.459293766634367,61.09862511277094,False,False,True,False,False,True
99.0,28.78290675,7.412178995,135.195085745,0.7322751374760038,0.2128990605789419,0.05482580194505427,2.6001649162236715,2849.50776825,733.805720505,213.3440568273937,3.5508032202020203,12.213134755752215,47.42593494263019,False,False,False,False,False,False
20.0,12.35406098,4.3558596,36.70992058,0.5448118569588035,0.33653194517480484,0.11865619786639155,1.9670095172949023,247.0812196,87.11719199999999,53.8125551187184,3.610438158,5.844941455032385,16.577385359252627,False,False,False,False,False,False
58.0,15.69086872,3.143849286,76.834718006,0.7548670901020395,0.20421586916964676,0.040917040728313696,2.6603382755180798,910.0703857599999,182.343258588,49.32972642209173,3.5242472620689655,13.027088865988551,65.01785632989787,False,True,False,False,True,False
42.0,11.85387899,0.425868638,54.279747627999996,0.7737692571425012,0.21838493191308103,0.007845810944417829,2.7430961676614967,497.86291758,17.886482796,5.048195300488116,3.545108754761905,12.560830747944054,349.6255756217484,False,True,False,False,True,False
65.0,22.01819072,3.352790007,90.370980727,0.7192574372558518,0.24364226815811968,0.037100294586028454,2.5840707074481273,1431.1823967999999,217.931350455,73.82236981823613,3.5926923707692304,10.606003330141014,69.65094849735395,False,True,False,False,True,False
12.0,2.433254458,2.478694936,16.911949394,0.7095574685350787,0.14387782279334793,0.14656470867157326,2.5290548826484978,29.199053495999998,29.744339232,6.031295503044025,3.5642706825,17.577795059360785,17.255551527862565,False,True,False,False,True,False
63.0,19.10204333,4.773049696,86.875093026,0.7251790795912626,0.21987940000574313,0.05494152040299422,2.5990385406830585,1203.42872979,300.702130848,91.17500210923534,3.583995476190476,11.82029121698155,47.305544542983114,False,True,False,False,True,False
22.0,16.10246464,4.881430652,42.983895292,0.5118195977946781,0.3746162261612649,0.11356417604405697,1.740526201075225,354.25422208000003,107.39147434399999,78.60306446644215,3.400663453636364,4.646158066644884,15.32636665633,True,False,False,True,False,False
31.0,16.8762305,1.04950058,48.92573108,0.6336134241777793,0.3449356836876928,0.021450892134527916,2.2248479439584083,523.1631454999999,32.53451798,17.71161369796369,3.5113649096774195,6.450037062482645,103.7182010895125,False,False,False,False,False,False
100.0,31.6462889,6.52108481,138.16737371,0.7237598668546047,0.22904313840706353,0.047196994738331846,2.5803320387944577,3164.62889,652.108481,206.36813383866158,3.5651770110000003,11.265703293886066,54.67153264948873,False,True,False,False,True,False
35.0,4.435772821,0.372863616,39.808636437,0.879206200779823,0.11142739912782308,0.00936640009235391,3.1815698359937272,155.252048735,13.05022656,1.6539382937925806,3.6186844828571427,28.55285020467914,339.67904473682944,False,False,False,False,False,False
23.0,3.159149146,1.838038355,27.997187501,0.8215110892541791,0.11283808939334217,0.06565082135247868,3.017037921290593,72.660430358,42.274882165,5.806637299513494,3.672546799130435,26.737761490922658,45.955829022947675,True,False,False,True,False,False
73.0,22.86737608,0.968984226,96.836360306,0.7538490683594693,0.2361445226538851,0.0100064089866455,2.6962070959189357,1669.31845384,70.735848498,22.158126711529714,3.5765874219178078,11.417614372833631,269.4480207152515,False,False,True,False,False,True
70.0,22.9508713,5.688322892,98.639194192,0.7096570544133384,0.23267496747110894,0.05766797811555261,2.5459457029948807,1606.560991,398.18260244000004,130.5519666071358,3.587571894285714,10.942069663385722,44.14834343408788,True,False,False,True,False,False
58.0,17.39836485,3.796159847,79.194524697,0.7323738632425572,0.21969151171203471,0.04793462504540802,2.621699363616044,1009.1051613,220.17727112600002,66.04697404702618,3.5797281896551723,11.93354874380623,54.69322772698301,False,False,False,False,False,False
49.0,14.01663901,0.804732595,63.821371604999996,0.7677678929131815,0.219622967314947,0.012609139771871565,2.7984616533375744,686.81531149,39.431897155,11.279646283695532,3.6449318591836737,12.742117491402812,221.93914128705075,True,False,False,True,False,False
69.0,25.74882385,1.818395347,96.56721919700001,0.7145281864152879,0.26664145518648136,0.018830358398230555,2.570020330539973,1776.66884565,125.469278943,46.821541479562626,3.596807486956522,9.638487491536434,136.48281547214057,False,False,True,False,False,True
33.0,19.33747589,0.742523265,53.079999155,0.6217030995730806,0.36430814238583986,0.013988758041079512,2.148396703379714,638.13670437,24.503267745,14.358525734701582,3.455663490909091,5.897196503240217,153.58023185980576,False,False,True,False,False,True
83.0,27.45744568,4.852580235,115.31002591500001,0.7197986414570999,0.23811845901621828,0.04208289952668162,2.5370364031974817,2278.96799144,402.76415950499995,133.23945821035412,3.524647390361446,10.6545137814145,60.2866349926515,False,False,False,False,False,False
12.0,13.93826554,0.411806407,26.350071947,0.4554067261803519,0.5289649898503178,0.015628283969330293,1.6556414049930868,167.25918647999998,4.941676884,5.7398670518393144,3.6355225116666667,3.1299640557716053,105.93878433756375,False,False,True,False,False,True
48.0,7.639383814,0.025406846,55.66479066,0.8623045093833827,0.13723906482755469,0.0004564257890626908,3.071987967124064,366.69042307200004,1.219528608,0.19409264809719065,3.5625326479166666,22.384209415767415,6730.531097799388,True,False,False,True,False,False
77.0,27.90609645,4.144917168,109.05101361800001,0.7060915570186901,0.2558994687362888,0.03800897424502103,2.546820973832353,2148.76942665,319.15862193600003,115.66845826746885,3.6069273857142856,9.952427749886889,67.0057801985007,False,False,False,False,False,False
57.0,12.48040325,1.319113037,70.79951628699999,0.8050902462234221,0.17627808641245785,0.01863166736412028,2.8806521371311757,711.38298525,75.189443109,16.463062634092168,3.5780487350877195,16.34152148889901,154.6105391876284,True,False,False,True,False,False
50.0,14.11823913,0.461927771,64.58016690100001,0.7742315078969819,0.21861571140940148,0.007152780693616434,2.760563339411862,705.9119565,23.09638855,6.521606731765878,3.565552824,12.627470009427444,385.9426784712626,True,False,False,True,False,False
31.0,7.682984504,1.443827375,40.126811879,0.7725507845845976,0.1914676034360163,0.035981611979386124,2.7419871738572317,238.17251962400002,44.758648625,11.092903348575996,3.549264629032258,14.320893585392033,76.20523436882473,False,False,True,False,False,True
50.0,15.08427868,0.47441555,65.55869423,0.7626753489717881,0.23008815012513406,0.007236500903077855,2.7617135717317045,754.213934,23.7207775,7.1562163663254745,3.621086712,12.002850082586779,381.63659601798463,False,False,False,False,False,False
99.0,36.72156196,7.917322224,143.638884184,0.6892284116686813,0.2556519578149886,0.05511963051633002,2.457065273132448,3635.43463404,783.814900176,290.736438605901,3.5649506484848485,9.610977729771927,44.57695470952957,False,False,True,False,False,True
18.0,1.271180652,1.050902776,20.322083428,0.885735956343895,0.06255168947139311,0.051712354184711894,3.090244100832357,22.881251736,18.916249968000002,1.33588727598429,3.488899912777778,49.40304773455599,59.758333372220534,True,False,False,True,False,False
35.0,7.798023839,1.957661502,44.755685341,0.7820235514958594,0.1742353799206902,0.04374106858345025,2.695500966655614,272.930834365,68.51815257,15.265891061288547,3.446828374285714,15.470457078709117,61.62403100676594,False,False,False,False,False,False
65.0,19.77140766,5.607599419,90.37900707899999,0.7191935616551277,0.2187610629835519,0.06204537536132053,2.541784205475936,1285.1414979,364.49396223499997,110.87013410702815,3.534214349230769,11.618997324341244,40.96653764561638,False,True,False,False,True,False
63.0,28.52795281,3.168882093,94.696834903,0.6652809469770796,0.3012556104881625,0.033463442534757935,2.370366866325845,1797.26102703,199.639571859,90.40171880955803,3.5629561873015874,7.868291191273883,70.83451930756327,False,False,False,False,False,False
59.0,16.97645374,4.517268013,80.493721753,0.7329764199628535,0.21090407264424058,0.05611950739290597,2.5854430391304852,1001.61077066,266.518812767,76.68719145387621,3.5273208915254237,12.258857814906635,46.07030886834387,False,False,True,False,False,True
36.0,17.57188246,1.500329303,55.072211763,0.6536872017220566,0.31906985206295246,0.027242946214990935,2.3572266002074276,632.5877685600001,54.011854908000004,26.363610163609728,3.606046736111111,7.387807356184648,86.52612612472582,False,False,True,False,False,True
18.0,1.056114844,0.748769308,19.804884152,0.9088667149907195,0.0533259793844009,0.037807305624879675,3.1556902393538424,19.010067192,13.477847544,0.790786380910408,3.4721155338888887,59.17735174831042,83.46773691477216,False,True,False,False,True,False
35.0,14.1368135,1.571675673,50.708489173000004,0.6902197358038411,0.27878593368794785,0.030994330508210977,2.5000729319204793,494.7884725,55.008648555,22.21848587168799,3.6221406057142858,8.96771547562681,80.66226599920147,True,False,False,True,False,False
59.0,15.41542077,1.707459574,76.122880344,0.7750626320677628,0.20250706095641116,0.02243030697582612,2.7741586372676577,909.5098254300001,100.740114866,26.321207780974955,3.5792702711864406,13.699071154189454,123.67903124364102,True,False,False,True,False,False
76.0,17.48860583,2.950997206,96.439603036,0.7880579928520642,0.18134257379171986,0.030599433356215913,2.7885064012510896,1329.13404308,224.27578765599998,51.60882694116531,3.538453294736842,15.377009066022273,91.12934768397066,False,False,True,False,False,True
98.0,37.57095206,8.529604366,144.100556426,0.680080649447915,0.26072732119736003,0.059192029354725006,2.441163841588954,3681.9533018800003,835.9012278679999,320.4653567257527,3.589521101020408,9.362900022821513,41.24142841867421,True,False,False,True,False,False
31.0,9.847549535,0.553308611,41.400858146,0.7487767497639444,0.23785858496634654,0.013364665269709117,2.646171446825063,305.27403558500004,17.152566941,5.4487339549645455,3.5339925387096778,11.124977671919881,197.99758493185644,False,True,False,False,True,False
99.0,31.39714703,4.282725886,134.679872916,0.7350764286935912,0.23312426979777773,0.03179930150863107,2.6515578361343635,3108.31755597,423.98986271399997,134.465374331929,3.60718658989899,11.37401025828174,83.38415343540389,False,False,False,False,False,False
83.0,27.4575452,5.358948693,115.816493893,0.7166509467699967,0.2370780212477106,0.04627103198229261,2.5370435153343847,2278.9762516,444.792741519,147.14357596252842,3.5401383710843373,10.70130205230437,54.83006119909496,False,True,False,False,True,False
27.0,8.356876047,3.829888213,39.18676426,0.6890081513456402,0.21325761911733818,0.09773422953702175,2.499064544095635,225.635653269,103.40698175099999,32.00590106990733,3.6270464133333338,11.718524076368894,25.570003016691185,False,True,False,False,True,False
24.0,7.544702793,2.339837083,33.884539876,0.7082876169435284,0.22265914840838136,0.06905323464809028,2.4659364647056186,181.072867032,56.156089992,17.653375375275072,3.4815467695833333,11.074938902500516,35.71065826637298,True,False,False,True,False,False
62.0,27.34392422,1.912193777,91.256117997,0.6794065029375698,0.2996393537241954,0.02095414333823473,2.4276807929445674,1695.3233016400002,118.556014174,52.28688173224358,3.5732374983870967,8.102009174599738,115.85683813257175,True,False,False,True,False,False
97.0,35.88463577,2.264974023,135.149609793,0.7177231229048214,0.26551786442419034,0.016759012670988217,2.5627358912133475,3480.80966969,219.702480231,81.27776784386661,3.5706469659793814,9.651839799069528,152.91687771378912,False,True,False,False,True,False
